"","S1.sorted.bam","S2.sorted.bam","S3.sorted.bam","S4.sorted.bam","S5.sorted.bam","S6.sorted.bam"
"67812",4854,3794,3717,4168,3646,3697
"226413",3,1,0,1,4,0
"17219",82,48,48,57,74,56
"226414",2241,1752,1638,1973,1767,1705
"12767",95,62,82,98,81,65
"210417",12,4,3,7,9,3
"100042740",337,297,204,263,294,214
"13137",0,2,2,0,1,0
"13136",474,323,347,433,383,334
"22789",4,3,5,5,1,0
"12269",0,0,0,0,0,0
"12270",1,0,0,2,1,0
"18640",404,282,294,319,255,265
"226418",113,79,66,71,61,49
"212439",20,18,14,21,17,13
"64435",0,0,0,0,1,1
"100502856",0,0,0,0,0,0
"18703",0,0,1,0,0,0
